root_category,found_in_category,pageid,title,url,categories,matched_keyword,latitude,longitude,date
Category:History books by century,Category:5th-century BC history books,26691443,Gongyang Zhuan,https://en.wikipedia.org/?curid=26691443,Category:5th-century BC history books | Category:Chinese classic texts | Category:Chinese history texts | Category:Chinese literature | Category:Confucian texts | Category:Thirteen Classics | Category:Zhou dynasty texts,Chinese,36.79871,98.769583,-500
Category:History books by century,Category:5th-century BC history books,26691660,Guliang Zhuan,https://en.wikipedia.org/?curid=26691660,Category:5th-century BC history books | Category:Chinese classic texts | Category:Chinese history texts | Category:Chinese literature | Category:Confucian texts | Category:Confucianism stubs | Category:Han dynasty texts | Category:Thirteen Classics,Chinese,36.79871,98.769583,-500
Category:History books by century,Category:5th-century BC history books,1349762,Guoyu (book),https://en.wikipedia.org/?curid=1349762,Category:5th-century BC history books | Category:Chinese classic texts | Category:Chinese history texts | Category:Works of unknown authorship,Chinese,36.79871,98.769583,-500
Category:History books by century,Category:5th-century BC history books,752522,Histories (Herodotus),https://en.wikipedia.org/?curid=752522,Category:5th-century BC history books | Category:Ancient Greek history books | Category:Books about civilizations | Category:Classical ethnography | Category:Cultural depictions of Khufu | Category:Herodotus | Category:History books about the Greco-Persian Wars | Category:Phoenicia in ancient sources | Category:Texts in Ionic Greek,Greek,39.080457,21.806332,-500
Category:History books by century,Category:5th-century BC history books,382350,History of the Peloponnesian War,https://en.wikipedia.org/?curid=382350,Category:5th-century BC history books | Category:Ancient Greek history books | Category:Ancient Greek military books | Category:Books about military history | Category:History books about wars | Category:Peloponnesian War | Category:Phoenicia in ancient sources | Category:Political philosophy in ancient Greece | Category:Unfinished books | Category:Unfinished literature completed by others,Greece,39.080457,21.806332,-500
Category:History books by century,Category:5th-century BC history books,30875467,Spring and Autumn Annals,https://en.wikipedia.org/?curid=30875467,Category:5th-century BC history books | Category:Chinese chronicles | Category:Chinese classic texts | Category:Chinese history texts | Category:Confucian texts | Category:Four Books and Five Classics | Category:Lu (state) | Category:Works of unknown authorship | Category:Zhou dynasty texts,Chinese,36.79871,98.769583,-500
Category:History books by century,Category:4th-century BC history books,206774,Anabasis (Xenophon),https://en.wikipedia.org/?curid=206774,Category:4th-century BC history books | Category:Anabasis (Xenophon) | Category:Ancient Greek military books | Category:Historians of Iran | Category:History books about the Greco-Persian Wars | Category:Military marching | Category:Military withdrawals | Category:Phoenicia in ancient sources | Category:Ten Thousand-ancient mercenaries | Category:Works by Xenophon,Greek,39.080457,21.806332,-400
Category:History books by century,Category:4th-century BC history books,4170507,Bamboo Annals,https://en.wikipedia.org/?curid=4170507,Category:4th-century BC history books | Category:Bamboo and wooden slips | Category:Chinese chronicles | Category:Chinese history texts,Chinese,36.79871,98.769583,-400
Category:History books by century,Category:4th-century BC history books,55848583,Constitution of the Lacedaemonians,https://en.wikipedia.org/?curid=55848583,Category:4th-century BC history books | Category:Ancient Greek constitutions | Category:Ancient Greek law | Category:Sparta | Category:Works by Xenophon,Greek,39.080457,21.806332,-400
Category:History books by century,Category:4th-century BC history books,2237484,Hellenica,https://en.wikipedia.org/?curid=2237484,Category:4th-century BC history books | Category:Ancient Greek history books | Category:Ancient Greek military books | Category:Historiography of Greece | Category:History books about wars | Category:Works by Xenophon,Greece,39.080457,21.806332,-400
Category:History books by century,Category:4th-century BC history books,3861052,Hellenica Oxyrhynchia,https://en.wikipedia.org/?curid=3861052,Category:1906 archaeological discoveries | Category:4th-century BC history books | Category:Ancient Greek history books | Category:Historiography of Greece | Category:Oxyrhynchus papyri | Category:Works of uncertain authorship,Greece,39.080457,21.806332,-400
Category:History books by century,Category:4th-century BC history books,67532549,Persica (Ctesias),https://en.wikipedia.org/?curid=67532549,Category:4th-century BC history books | Category:Ancient Greek history books,Greek,39.080457,21.806332,-400
Category:History books by century,Category:4th-century BC history books,2282952,Zuo Zhuan,https://en.wikipedia.org/?curid=2282952,Category:4th-century BC history books | Category:Ancient Chinese philosophical literature | Category:Chinese classic texts | Category:Chinese history texts | Category:Confucian texts | Category:Thirteen Classics,Chinese,36.79871,98.769583,-400
Category:History books by century,Category:3rd-century BC history books,79686925,Aegyptiaca,https://en.wikipedia.org/?curid=79686925,Category:3rd century BC in Egypt | Category:3rd-century BC history books | Category:Ancient Egyptian King lists | Category:Ancient Egyptian literature | Category:History books about Egypt,Egypt,26.895485,29.369537,-300
Category:History books by century,Category:3rd-century BC history books,37076742,Atthis (Philochorus),https://en.wikipedia.org/?curid=37076742,Category:3rd-century BC history books | Category:Ancient Attica | Category:Ancient Greece stubs | Category:Ancient Greek history books | Category:Classical studies stubs | Category:European history book stubs | Category:Lost books,Greece,39.080457,21.806332,-300
Category:History books by century,Category:3rd-century BC history books,76638672,Babyloniaca (Berossus),https://en.wikipedia.org/?curid=76638672,Category:3rd-century BC history books | Category:Ancient Greek history books | Category:Ancient Near Eastern cosmology | Category:Babylonia | Category:Eusebius,Greek,39.080457,21.806332,-300
Category:History books by century,Category:3rd-century BC history books,16761421,Chunqiu shiyu,https://en.wikipedia.org/?curid=16761421,Category:3rd-century BC history books | Category:Chinese history texts,Chinese,36.79871,98.769583,-300
Category:History books by century,Category:3rd-century BC history books,44398507,Demotic Chronicle,https://en.wikipedia.org/?curid=44398507,Category:3rd-century BC history books | Category:African chronicles | Category:Anti-Iranian sentiment | Category:History books about Egypt | Category:Papyri from ancient Egypt | Category:Papyrology stubs | Category:Prophecy | Category:Xerxes I,Egypt,26.895485,29.369537,-300
Category:History books by century,Category:3rd-century BC history books,8817607,Indica (Megasthenes),https://en.wikipedia.org/?curid=8817607,Category:3rd-century BC history books | Category:Ancient Greek geographical works | Category:Ancient Greek history books | Category:Historiography of India | Category:History books about India | Category:Texts in Ionic Greek | Category:Works about legendary creatures,Greek,39.080457,21.806332,-300
Category:History books by century,Category:3rd-century BC history books,8257071,Lüshi Chunqiu,https://en.wikipedia.org/?curid=8257071,Category:3rd-century BC history books | Category:Ancient Chinese philosophical literature | Category:Chinese chronicles | Category:Chinese classic texts | Category:Encyclopedias in Chinese | Category:Leishu,Chinese,36.79871,98.769583,-300
Category:History books by century,Category:3rd-century BC history books,1934647,Parian Chronicle,https://en.wikipedia.org/?curid=1934647,Category:1627 archaeological discoveries | Category:1897 archaeological discoveries | Category:3rd-century BC history books | Category:3rd-century BC steles | Category:Archaeological discoveries in the Aegean Islands | Category:Chronicles in Koine Greek | Category:Collection of the Ashmolean Museum | Category:Greek artifacts outside Greece | Category:Greek inscriptions | Category:Hellenistic Greece | Category:Historiography of Greece | Category:Marble sculptures in Greece | Category:Paros,Greece,39.080457,21.806332,-300
Category:History books by century,Category:3rd-century BC history books,305373,Zhan Guo Ce,https://en.wikipedia.org/?curid=305373,Category:3rd-century BC history books | Category:Chinese history texts | Category:Han dynasty texts | Category:Warring States period,Chinese,36.79871,98.769583,-300
Category:History books by century,Category:2nd-century BC history books,8420521,Histories (Polybius),https://en.wikipedia.org/?curid=8420521,Category:2nd-century BC history books | Category:Ancient Greek history books | Category:Political philosophy in ancient Greece | Category:Roman-era Greek historiography,Greece,39.080457,21.806332,-200
Category:History books by century,Category:2nd-century BC history books,43401246,List of chapters in Shiji,https://en.wikipedia.org/?curid=43401246,Category:1st-century BC history books | Category:2nd-century BC history books | Category:Chinese chronicles | Category:Chinese history texts | Category:Han dynasty literature | Category:Han dynasty texts | Category:Historiography of China,China,36.79871,98.769583,-200
Category:History books by century,Category:2nd-century BC history books,188168,Shiji,https://en.wikipedia.org/?curid=188168,Category:1st-century BC history books | Category:2nd-century BC history books | Category:Books about civilizations | Category:Chinese chronicles | Category:Han dynasty literature | Category:Han dynasty texts | Category:Historiography of China | Category:Twenty-Four Histories,China,36.79871,98.769583,-200
Category:History books by century,Category:1st-century BC history books,15667214,Bibliotheca Historica,https://en.wikipedia.org/?curid=15667214,Category:1st-century BC history books | Category:Ancient Greek history books | Category:Books about civilizations | Category:Gold mining | Category:History of mining | Category:Phoenicia in ancient sources | Category:Roman-era Greek historiography,Greek,39.080457,21.806332,-100
Category:History books by century,Category:1st-century BC history books,4333378,Commentarii de Bello Civili,https://en.wikipedia.org/?curid=4333378,Category:1st-century BC books in Latin | Category:1st-century BC history books | Category:History books about ancient Rome | Category:Military books in Latin | Category:Works about history in Latin | Category:Works by Julius Caesar,Rome,41.9029,12.4534,-100
Category:History books by century,Category:1st-century BC history books,47016,Commentarii de Bello Gallico,https://en.wikipedia.org/?curid=47016,Category:1st-century BC books in Latin | Category:1st-century BC history books | Category:Gallic Wars | Category:History books about France | Category:History books about ancient Rome | Category:Military books in Latin | Category:Sources on Germanic paganism | Category:Works about history in Latin | Category:Works by Julius Caesar,France,46.895071,2.099228,-100
Category:History books by century,Category:1st-century BC history books,53582286,Bellum Catilinae,https://en.wikipedia.org/?curid=53582286,Category:1st-century BC books in Latin | Category:1st-century BC history books | Category:Catiline | Category:History books about ancient Rome | Category:Monographs,Rome,41.9029,12.4534,-100
Category:History books by century,Category:1st-century BC history books,1955144,History of Rome (Livy),https://en.wikipedia.org/?curid=1955144,Category:1st-century BC books in Latin | Category:1st-century BC history books | Category:Cultural depictions of Alexander the Great | Category:Cultural depictions of Brennus | Category:Cultural depictions of Catiline | Category:Cultural depictions of Cato the Younger | Category:Cultural depictions of Cicero | Category:Cultural depictions of Gaius Marius | Category:Cultural depictions of Hannibal | Category:Cultural depictions of Lepidus | Category:Cultural depictions of Lucius Junius Brutus | Category:Cultural depictions of Lucius Tarquinius Superbus | Category:Cultural depictions of Lucretia | Category:Cultural depictions of Marcus Junius Brutus | Category:Cultural depictions of Marcus Licinius Crassus | Category:Cultural depictions of Mark Antony | Category:Cultural depictions of Octavia the Younger | Category:Cultural depictions of Pompey | Category:Cultural depictions of Publius Clodius Pulcher | Category:Cultural depictions of Romulus and Remus | Category:Cultural depictions of Scipio Africanus | Category:Cultural depictions of Servius Tullius | Category:Cultural depictions of Sextus Tarquinius | Category:Cultural depictions of Spartacus | Category:Cultural depictions of Sulla | Category:Cultural depictions of Tanaquil | Category:Cultural depictions of Tiberius | Category:Cultural depictions of Tullia Minor | Category:Cultural depictions of Vercingetorix | Category:Depictions of Augustus in literature | Category:Depictions of Cleopatra in literature | Category:Depictions of Julius Caesar in literature | Category:History books about ancient Rome | Category:Works about history in Latin,Rome,41.9029,12.4534,-100
Category:History books by century,Category:1st-century history books,1663256,Agricola (book),https://en.wikipedia.org/?curid=1663256,Category:1st century in Roman Britain | Category:1st-century books in Latin | Category:1st-century history books | Category:90s in the Roman Empire | Category:98 | Category:Biographies in Latin | Category:History books about ancient Rome | Category:Works about history in Latin | Category:Works by Tacitus,Rome,41.9029,12.4534,0
Category:History books by century,Category:1st-century history books,647512,Germania (book),https://en.wikipedia.org/?curid=647512,Category:1st-century books in Latin | Category:1st-century history books | Category:90s in the Roman Empire | Category:Books about Germany | Category:Classical ethnography | Category:Germania | Category:History books about Germany | Category:History books about ancient Rome | Category:Sources on Germanic paganism | Category:Works about history in Latin | Category:Works by Tacitus,Germany,51.431228,10.432351,0
Category:History books by century,Category:1st-century history books,52425184,Histories of Alexander the Great,https://en.wikipedia.org/?curid=52425184,Category:1st-century books in Latin | Category:1st-century history books | Category:Biographies about royalty | Category:Biographies in Latin | Category:Historiography of Alexander the Great | Category:Military books in Latin | Category:Roman-era Greek historiography | Category:Works based on classical literature,Greek,39.080457,21.806332,0
